City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Faanui,PF,82.27,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
4,Butaritari,KI,81.77,light rain,3.0707,172.7902,Isles Sunset Lodge
7,Acarau,BR,77.45,overcast clouds,-2.8856,-40.12,castelo pizzaria
9,Mildura,AU,84.2,clear sky,-34.2,142.15,Mercure Hotel Mildura
12,Kapaa,US,72.0,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
16,Rikitea,PF,79.25,scattered clouds,-23.1203,-134.9692,Pension Maro'i
17,Atuona,PF,79.63,overcast clouds,-9.8,-139.0333,Villa Enata
18,Digboi,IN,75.2,haze,27.3833,95.6333,"Digboi College, Boys Hostel"
20,Vogan,TG,82.4,few clouds,6.3333,1.5333,Hotel Sitsope Phenix
22,Hobart,AU,73.99,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
24,Ishigaki,JP,75.2,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
27,Saint-Philippe,RE,82.4,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Sri Aman,MY,87.8,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
32,Busselton,AU,73.99,overcast clouds,-33.65,115.3333,Observatory Guest House
41,Arraial Do Cabo,BR,74.68,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
45,Santa Cruz,BO,73.4,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
46,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
48,Quelimane,MZ,77.0,scattered clouds,-17.8786,36.8883,Hotel Flamingo
52,Bweyogerere,UG,71.6,few clouds,0.3558,32.6672,J&W Hotel
56,Georgetown,MY,91.4,few clouds,5.4112,100.3354,Cititel Penang
58,Banda Aceh,ID,87.28,scattered clouds,5.5577,95.3222,Sulthan Hotel International
60,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
62,Tual,ID,83.19,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
66,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
70,New Norfolk,AU,73.99,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
72,Matara,LK,82.02,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
73,Port Blair,IN,82.4,haze,11.6667,92.75,Welcomhotel Bay Island Port Blair
74,Ambon,ID,87.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
75,Lorengau,PG,85.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
76,Sao Jose Da Coroa Grande,BR,77.43,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
80,Mount Gambier,AU,80.6,clear sky,-37.8333,140.7667,Commodore on the Park
81,Barinas,VE,78.89,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
84,Kaeo,NZ,73.99,clear sky,-35.1,173.7833,Bushido Lodge
85,Port Hedland,AU,91.4,clear sky,-20.3167,118.5667,The Esplanade Hotel
86,Katherine,AU,91.4,broken clouds,-14.4667,132.2667,Pine Tree Motel
88,Blackwater,AU,87.51,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
95,Miro Khan,PK,73.4,haze,27.7599,68.0921,Mukhtiar Dayo
103,Morondava,MG,76.28,clear sky,-20.2833,44.2833,La Case Bambou
105,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
108,Necochea,AR,71.01,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
111,Avarua,CK,78.8,broken clouds,-21.2078,-159.775,Paradise Inn
113,Maputo,MZ,79.0,few clouds,-25.9653,32.5892,Pestana Rovuma
114,Villa Del Rosario,CO,71.22,broken clouds,7.8339,-72.4742,Hotel Villas de San Diego
122,East London,ZA,70.84,few clouds,-33.0153,27.9116,Tu Casa
124,Ginda,IN,73.4,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
126,Padang,ID,86.0,few clouds,-0.9492,100.3543,Mercure Padang
127,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
129,Esperance,AU,80.6,light rain,-33.8667,121.9,Hospitality Esperance
130,Daru,PG,84.02,scattered clouds,-9.0763,143.2092,Daru Lodge
131,Kloulklubed,PW,87.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
136,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
143,Vao,NC,77.38,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
153,Kismayo,SO,79.92,scattered clouds,-0.3582,42.5454,Agan-Hotel
154,Yeppoon,AU,86.0,broken clouds,-23.1333,150.7333,Villa Mar Colina
157,Hue,VN,82.4,scattered clouds,16.4667,107.6,Saigon Morin Hotel
165,Broken Hill,AU,82.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
166,Puerto Ayora,EC,75.0,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
168,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
170,Saint-Pierre,RE,82.4,clear sky,-21.3393,55.4781,Lindsey Hôtel
171,Kokopo,PG,82.42,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
172,Tipitapa,NI,73.4,few clouds,12.1973,-86.0971,Hotel Entre Rios
176,Alyangula,AU,78.8,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
178,Arlit,NE,72.91,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
182,Paracuru,BR,82.0,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
183,Bambous Virieux,MU,82.99,light rain,-20.3428,57.7575,Casa Tia Villa
