City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Farsala,GR,39.2947,22.3847,48.0,81,75,6.91,broken clouds
1,Faanui,PF,-16.4833,-151.75,82.27,74,73,10.8,broken clouds
2,Rokytnice Nad Jizerou,CZ,50.7256,15.4336,30.0,88,99,9.35,overcast clouds
3,Agaro,ET,7.85,36.65,69.03,51,22,1.39,few clouds
4,Butaritari,KI,3.0707,172.7902,81.77,76,57,9.37,light rain
5,Torbay,CA,47.6666,-52.7314,28.0,86,1,5.75,clear sky
6,Cherskiy,RU,68.75,161.3,-0.44,85,98,17.2,overcast clouds
7,Acarau,BR,-2.8856,-40.12,77.45,87,97,9.55,overcast clouds
8,Vostok,RU,46.4856,135.8833,30.06,97,2,5.7,clear sky
9,Mildura,AU,-34.2,142.15,84.2,34,9,6.91,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,46.4,66,75,34.52,light rain
11,Broome,US,42.2506,-75.833,44.6,57,1,10.36,clear sky
12,Kapaa,US,22.0752,-159.319,72.0,88,90,10.36,heavy intensity rain
13,Narsaq,GL,60.9167,-46.05,23.0,80,75,4.61,light snow
14,Yellowknife,CA,62.456,-114.3525,-11.0,77,20,4.61,few clouds
15,Qaanaaq,GL,77.484,-69.3632,4.89,78,0,5.03,clear sky
16,Rikitea,PF,-23.1203,-134.9692,79.25,75,47,19.19,scattered clouds
17,Atuona,PF,-9.8,-139.0333,79.63,66,88,14.63,overcast clouds
18,Digboi,IN,27.3833,95.6333,75.2,64,75,4.61,haze
19,Klaksvik,FO,62.2266,-6.589,37.4,87,75,4.61,broken clouds
20,Vogan,TG,6.3333,1.5333,82.4,83,20,5.75,few clouds
21,Mugur-Aksy,RU,50.35,90.5,25.74,87,89,8.23,overcast clouds
22,Hobart,AU,-42.8794,147.3294,73.99,56,75,13.8,broken clouds
23,Tasiilaq,GL,65.6145,-37.6368,12.2,73,37,5.75,scattered clouds
24,Ishigaki,JP,24.3448,124.1572,75.2,64,40,12.66,scattered clouds
25,Saskylakh,RU,71.9167,114.0833,-13.29,84,100,21.23,overcast clouds
26,Neustadt,DE,49.7117,12.0872,37.0,87,75,3.44,broken clouds
27,Saint-Philippe,RE,-21.3585,55.7679,82.4,69,0,18.41,clear sky
28,Hermanus,ZA,-34.4187,19.2345,57.99,96,85,5.32,overcast clouds
29,Cape Town,ZA,-33.9258,18.4232,66.0,88,20,3.44,few clouds
30,Sri Aman,MY,1.2376,111.4621,87.8,70,40,2.17,scattered clouds
31,Bethel,US,41.3712,-73.414,42.8,70,90,2.86,overcast clouds
32,Busselton,AU,-33.65,115.3333,73.99,81,100,1.01,overcast clouds
33,Diego De Almagro,CL,-26.3667,-70.05,55.24,90,47,1.1,scattered clouds
34,Mutare,ZW,-18.9707,32.6709,65.7,91,30,1.61,scattered clouds
35,Fortuna,US,40.5982,-124.1573,43.0,100,75,6.91,broken clouds
36,Klimovo,RU,52.3805,32.1923,7.63,96,69,7.43,broken clouds
37,Taltal,CL,-25.4,-70.4833,65.91,80,41,3.04,scattered clouds
38,Nome,US,64.5011,-165.4064,-11.2,58,1,4.61,clear sky
39,Katangli,RU,51.7102,143.2326,27.64,96,100,13.4,light snow
40,Ushuaia,AR,-54.8,-68.3,44.6,76,75,20.71,moderate rain
41,Arraial Do Cabo,BR,-22.9661,-42.0278,74.68,87,100,6.55,overcast clouds
42,Ponta Do Sol,PT,32.6667,-17.1,55.0,71,30,3.0,scattered clouds
43,Coquimbo,CL,-29.9533,-71.3436,60.8,94,0,2.3,clear sky
44,Lagoa,PT,39.05,-27.9833,56.23,79,100,14.63,overcast clouds
45,Santa Cruz,BO,-17.8,-63.1667,73.4,94,2,4.61,clear sky
46,Cayenne,GF,4.9333,-52.3333,80.01,89,75,2.3,broken clouds
47,Orange Cove,US,36.6244,-119.3137,43.0,100,90,5.75,overcast clouds
48,Quelimane,MZ,-17.8786,36.8883,77.0,100,40,2.3,scattered clouds
49,Zdunska Wola,PL,51.5992,18.9397,27.0,69,42,7.0,scattered clouds
50,Port Elizabeth,ZA,-33.918,25.5701,63.0,93,99,1.99,moderate rain
51,Bluff,NZ,-46.6,168.3333,57.99,61,10,5.99,clear sky
52,Bweyogerere,UG,0.3558,32.6672,71.6,88,20,3.44,few clouds
53,Constitucion,CL,-35.3333,-72.4167,59.81,90,80,6.26,broken clouds
54,El Reno,US,35.5323,-97.955,66.0,77,1,17.27,clear sky
55,Kargasok,RU,59.0556,80.8572,12.78,96,100,10.42,light snow
56,Georgetown,MY,5.4112,100.3354,91.4,49,20,5.75,few clouds
57,Barrow,US,71.2906,-156.7887,-9.4,70,20,12.66,few clouds
58,Banda Aceh,ID,5.5577,95.3222,87.28,60,35,13.35,scattered clouds
59,Hopewell,US,37.3043,-77.2872,55.0,46,96,1.01,overcast clouds
